"keys","en"
"TR_GEN_CYRUS","Marshal Hale"
"TR_COM_BLAKE","Operative Borel"
"TR_PREZ_GIDEON","Director Voss"
"TR_WAR_GRIM","Commander Vex"
"TR_PRI_TYBALT","Heir Corvin"
"TR_ACT_PILOT","Pilot"
"TR_ACT_OPERATOR","Operator"
"TR_ACT_GUARD","Guard"
"TR_ACT_SCOUT","Scout"
"TR_NOB_SIDNEY","Heiress Marchetti"
"TR_ACT_MESSENGER","Messenger"
"TR_GENT_ARCHI","Consigliere Brandt"
"TR_LORD_DAWSON","Foundermaster Ferron"
"TR_ACT_SERGEANT","Sergeant"
"TR_ACT_SOLDIER","Soldier"
"TR_ACT_OFFICER","Officer"
"TR_ACT_KNIGHT","Knight"
"TR_CAP_CLAUDE","Captain Verne"
"TR_CHANC_IRENE","Chancellor Renn"
"TR_ADM_TORSTEN","Admiral Mori"
"TR_ACT_ENGINEER","Engineer"
"TR_KING_LUDWIG","Chairman Aurelian"
